,movie_title,cluster_KMeans,tsne-2d-one,tsne-2d-two
561,Flight of the Phoenix,4,-0.06580901,-3.5062888
562,Unbreakable,1,3.9959884,-8.679531
563,Minions,5,-14.19083,7.1273293
564,Sucker Punch,3,-9.745116,-2.2688303
565,Snake Eyes,1,1.7520895,-14.812342
566,Sphere,1,3.9955256,-8.680751
567,The Angry Birds Movie,5,-14.371627,6.8779173
568,Fool's Gold,13,-5.948025,-3.3680508
569,Funny People,12,1.7944218,6.7919736
570,The Kingdom,4,0.7811304,-5.093864
571,Talladega Nights: The Ballad of Ricky Bobby,9,-6.030075,1.2143115
572,Dr. Dolittle 2,5,-10.695989,7.0374055
573,Braveheart,10,14.246265,-3.9357731
574,Jarhead,4,3.0707421,-3.0612779
575,The Simpsons Movie,5,-14.729094,4.923442
576,The Majestic,2,11.313682,5.945618
577,Driven,10,10.343171,0.64388126
578,Two Brothers,14,3.4133303,1.4758837
579,The Village,1,5.2736096,-9.793153
580,Doctor Dolittle,5,-10.959286,7.636207
581,Signs,4,3.4243855,-6.427641
583,Cars,5,-14.403508,5.1994963
584,Runaway Bride,0,-3.4898067,14.765961
585,xXx,13,-6.741457,-4.8516808
586,The SpongeBob Movie: Sponge Out of Water,5,-14.072449,3.065491
587,Ransom,13,-1.0364571,-9.188761
588,Inglourious Basterds,14,6.9120245,-2.8520787
589,Hook,5,-12.147677,2.7507296
591,Die Hard 2,13,-4.604224,-7.5597854
592,S.W.A.T.,13,-3.6373866,-7.931606
594,Vanilla Sky,7,5.7246532,-9.196347
595,Lady in the Water,1,4.073046,-10.482343
596,AVP: Alien vs. Predator,6,-8.934916,-9.60686
597,Alvin and the Chipmunks: The Squeakquel,5,-12.09522,6.433483
598,We Were Soldiers,4,2.6875618,-2.6398418
599,Olympus Has Fallen,13,-5.501242,-6.5598574
600,Star Trek: Insurrection,3,-10.625621,-8.333833
